School_Percentage,Aptitude_Test,Acadmic_Achievement,Programming1,Programming2,School_type,Color
93,92,93,61,98,1,2
90,93,97,70,85,2,2
99,96,99,85,52,1,2
92,92,99,44,65,1,2
96,90,91,66,61,1,2
91,91,93,94,63,2,2
99,99,95,82,74,2,2
92,97,90,60,86,1,2
88,99,96,52,97,1,2
97,90,99,73,68,2,2
95,90,92,85,58,2,2
93,95,98,45,77,1,2
90,92,98,99,50,1,2
92,98,95,76,96,1,1
94,93,97,93,75,1,1
90,91,93,53,44,2,3
96,92,90,40,41,2,3
94,96,97,69,45,1,2
97,93,94,60,93,1,2
95,97,99,91,76,2,1
99,98,94,41,42,2,3
99,91,91,52,91,1,2
97,98,92,78,61,2,2
90,98,94,85,94,1,1
90,94,92,71,46,1,2
99,97,99,67,85,2,2
99,91,97,73,53,2,2
93,93,95,90,82,2,1
96,94,94,43,47,2,3
99,99,94,61,51,2,2
96,95,95,79,63,1,2
95,95,95,43,86,1,2
96,91,90,76,91,2,2
99,97,92,82,53,2,2
90,95,91,67,83,2,2
91,96,96,46,50,1,2
94,93,93,85,74,2,2
92,98,91,97,83,2,1
96,93,95,57,83,2,2
95,90,98,46,76,1,2
99,97,90,95,55,2,2
91,94,90,56,88,2,2
92,97,92,87,79,2,2
91,90,95,90,25,1,2
97,95,99,88,70,1,2
85,96,98,83,46,1,2
91,90,97,62,98,1,2
92,90,98,78,69,1,2
92,93,99,41,94,1,2
91,99,96,66,72,2,2
91,93,90,44,94,1,2
97,95,96,58,56,1,2
99,91,94,93,87,2,1
96,96,92,98,43,2,2
92,91,94,98,85,2,1
94,95,95,58,68,1,2
91,94,92,86,80,1,2
91,96,95,74,99,2,1
97,94,91,94,49,1,2
92,92,95,45,95,2,2
90,92,91,78,71,2,2
92,94,97,43,60,1,2
91,90,90,40,76,2,2
90,96,95,91,85,1,1
99,99,95,85,47,1,2
95,96,97,83,48,2,2
92,98,91,81,84,2,2
94,95,90,66,43,2,2
93,93,94,62,73,1,2
91,92,90,61,60,2,2
90,90,99,97,65,2,2
96,97,92,81,86,2,1
92,92,92,43,87,2,2
96,95,93,85,44,2,2
93,99,92,52,98,2,2
93,93,91,69,80,1,2
94,92,95,41,60,1,2
90,92,97,28,53,1,3
98,98,93,99,95,2,1
97,93,96,93,40,2,2
94,93,94,87,94,1,1
94,96,95,48,46,2,2
99,96,95,60,92,2,2
99,90,94,88,73,1,2
91,94,99,71,93,1,2
92,93,97,97,93,1,1
94,95,96,64,59,2,2
96,96,96,90,76,2,1
95,90,99,58,55,1,2
96,95,98,90,59,1,2
91,99,94,54,40,1,2
92,95,96,53,74,2,2
91,92,93,91,41,1,2
95,99,94,85,43,2,2
97,90,90,79,94,2,1
93,98,91,73,67,1,2
90,99,92,86,63,2,2
96,97,98,52,59,2,2
99,97,96,50,81,1,2
91,98,98,62,91,2,2
99,98,93,47,74,1,2
92,90,95,50,60,1,2
97,92,92,80,94,2,1
95,95,99,71,70,2,2
90,98,99,99,67,1,1
94,93,93,54,73,2,2
93,99,93,94,43,2,2
90,95,95,86,48,2,2
99,99,99,80,88,2,1
92,90,98,58,54,2,2
99,98,94,84,41,2,2
93,99,90,53,66,1,2
90,95,92,58,79,2,2
91,95,95,50,81,2,2
96,92,94,56,80,2,2
95,97,97,86,55,1,2
98,95,97,51,87,1,2
95,96,91,96,63,1,2
98,96,91,81,74,2,2
95,98,98,50,99,2,2
97,92,91,98,55,1,2
96,97,98,74,66,2,2
96,99,98,53,97,2,2
92,95,96,62,76,1,2
98,97,95,76,68,1,2
92,99,90,43,41,2,3
97,94,90,53,99,2,2
99,92,98,85,57,2,2
90,91,96,74,44,1,2
95,95,97,85,75,2,2
92,93,96,58,81,2,2
98,96,93,92,93,1,1
96,99,93,53,94,2,2
92,91,97,58,42,1,2
96,92,96,78,91,1,1
94,99,93,46,51,1,2
93,98,90,97,97,1,1
98,99,99,46,69,1,2
99,96,92,67,76,2,2
98,97,95,54,40,2,2
95,96,98,81,75,2,2
92,92,98,41,53,1,2
90,94,95,63,52,2,2
92,98,93,88,54,1,2
96,94,94,68,67,1,2
95,98,92,84,63,1,2
97,90,96,71,88,1,2
93,96,97,70,62,2,2
92,91,93,76,86,2,2
85,94,94,68,85,2,2
90,97,91,81,65,2,2
98,99,91,46,73,1,2
96,95,93,54,48,2,2
93,94,93,50,48,2,2
98,98,97,96,77,1,1
92,99,93,85,69,1,2
99,94,94,80,85,2,1
96,98,94,64,52,2,2
97,93,90,51,87,1,2
92,93,98,64,58,2,2
92,90,98,73,73,2,2
96,98,91,64,50,2,2
93,94,95,72,40,2,2
91,90,94,90,77,1,2
93,91,96,71,86,1,2
97,97,99,97,93,1,1
93,95,99,68,60,2,2
99,95,92,49,81,1,2
93,92,97,59,92,1,2
97,92,96,78,94,2,1
95,96,92,84,90,2,1
97,95,91,95,62,2,2
91,99,98,53,44,1,2
93,93,97,76,32,1,2
91,97,96,88,98,2,1
97,95,92,78,73,2,2
96,93,91,93,78,1,1
93,90,99,99,67,1,2
99,91,95,97,84,1,1
98,94,94,46,81,2,2
94,94,97,76,94,2,1
91,95,93,84,71,2,2
98,94,96,58,42,1,2
90,97,91,54,59,1,2
95,91,99,75,44,2,2
90,97,93,91,69,2,2
92,90,95,77,86,1,2
95,91,90,78,96,2,1
97,98,97,50,68,2,2
94,91,93,86,69,2,2
96,98,96,47,88,2,2
93,95,98,69,78,1,2
92,98,99,96,82,2,1
92,91,90,74,82,1,2
92,94,91,46,37,1,3
99,90,97,92,94,1,1
96,94,92,71,89,1,2
91,92,93,73,42,2,2
92,95,92,42,78,2,2
97,92,96,71,54,2,2
92,95,90,44,64,2,2
99,96,96,55,77,2,2
96,92,94,61,58,2,2
93,94,96,73,75,1,2
92,93,91,54,87,2,2
97,97,95,75,89,2,1
90,92,92,42,99,2,2
99,96,96,59,68,2,2
92,95,98,91,83,1,1
93,91,99,89,44,1,2
96,93,98,75,45,2,2
90,90,94,41,44,2,3
90,98,97,47,74,2,2
91,98,90,92,41,1,2
92,96,93,50,91,1,2
98,98,90,50,77,1,2
93,94,92,83,76,1,2
91,97,91,76,98,1,1
90,96,98,74,53,1,2
99,94,90,62,83,2,2
99,96,92,52,63,1,2
90,90,94,90,99,1,1
90,97,98,46,87,1,2
98,98,92,74,51,1,2
92,93,96,44,92,2,2
92,90,98,29,82,1,2
95,99,95,53,77,1,2
97,90,90,54,79,2,2
91,94,93,62,55,1,2
93,93,92,75,94,2,2
98,91,99,49,77,1,2
91,92,96,43,81,1,2
97,96,98,82,53,1,2
91,94,91,57,50,1,2
96,90,94,57,54,2,2
93,92,90,93,91,2,1
90,97,95,50,94,1,2
96,97,91,80,40,2,2
97,96,90,97,57,1,2
91,92,94,95,81,1,1
90,99,98,50,94,1,2
91,94,92,86,64,2,2
92,98,96,94,89,2,1
97,94,93,68,41,1,2
94,93,92,41,95,2,2
95,92,91,92,83,2,1
94,96,97,45,43,1,2
92,98,93,85,44,1,2
96,98,94,94,92,1,1
98,96,94,55,64,1,2
92,94,90,98,71,1,2
95,94,92,77,93,2,1
97,92,91,85,40,2,2
92,93,93,80,51,1,2
89,90,97,68,82,2,2
93,99,93,46,87,1,2
90,91,96,94,43,1,2
96,97,91,66,94,1,2
93,93,96,74,69,1,2
95,92,93,66,87,1,2
99,96,99,44,49,1,2
92,91,93,81,94,1,1
98,95,95,40,73,2,2
97,97,96,69,69,2,2
93,90,94,44,83,2,2
95,96,94,75,77,2,2
97,97,90,41,94,2,2
93,94,98,96,46,1,2
97,94,93,81,69,1,2
92,94,92,99,66,1,2
94,93,90,51,89,2,2
90,99,98,99,78,1,1
96,98,94,47,62,1,2
90,99,95,83,45,1,2
97,95,95,56,69,1,2
90,90,94,65,84,2,2
93,93,92,94,90,1,1
95,95,96,92,74,2,1
97,96,95,95,94,2,1
92,91,90,86,45,2,2
85,91,97,83,71,2,2
95,99,92,95,74,2,1
90,95,90,56,73,1,2
96,97,94,55,47,2,2
99,99,90,64,57,2,2
99,94,98,66,58,1,2
99,91,94,80,69,1,2
96,97,92,98,40,2,2
98,93,93,78,77,2,2
97,95,92,86,98,1,1
96,91,92,68,62,2,2
99,90,92,92,67,2,2
90,99,95,88,57,1,2
98,95,96,92,68,1,2
93,95,91,53,57,2,2
93,93,98,80,50,2,2
92,94,96,75,60,2,2
94,98,91,50,85,1,2
95,98,95,62,42,1,2
90,98,93,64,45,1,2
93,91,94,78,57,2,2
97,98,90,83,82,1,1
92,92,91,97,97,1,1
96,98,99,87,71,2,1
96,94,99,83,56,2,2
96,90,97,52,77,2,2
92,94,96,48,84,2,2
95,93,92,50,85,2,2
95,95,93,98,62,1,2
98,92,91,62,74,1,2
96,92,90,51,57,1,2
91,91,92,64,85,1,2
99,99,93,69,60,2,2
99,98,90,46,74,2,2
99,98,99,47,87,2,2
94,94,91,66,80,1,2
95,91,98,84,50,2,2
98,95,94,80,65,1,2
97,94,93,47,75,1,2
92,99,94,47,48,1,2
99,91,93,64,40,1,2
90,98,94,97,98,2,1
99,96,90,49,73,1,2
98,92,96,69,41,1,2
92,93,94,93,51,2,2
98,95,94,61,46,2,2
96,92,94,91,84,2,1
92,93,95,80,49,1,2
93,95,93,44,64,1,2
93,92,99,73,81,1,2
95,93,91,97,71,1,2
99,94,91,41,45,2,3
93,94,90,81,85,2,2
94,98,91,65,72,2,2
99,93,98,49,85,2,2
94,94,93,88,60,2,2
89,99,96,60,76,1,2
92,92,97,90,82,2,1
93,98,94,74,60,1,2
91,99,91,98,46,1,2
90,96,95,61,90,1,2
96,91,93,63,96,1,2
92,93,97,95,42,2,2
90,98,95,61,72,2,2
90,96,94,44,49,1,3
94,93,99,68,50,2,2
94,90,92,45,99,2,2
92,98,96,59,49,1,2
91,91,99,97,98,2,1
99,97,98,87,67,2,2
92,95,97,82,91,1,1
99,99,93,61,90,1,2
91,91,93,94,49,1,2
92,93,97,92,97,1,1
96,99,90,65,75,1,2
96,94,95,51,99,1,2
92,91,92,71,79,2,2
97,98,99,77,74,2,2
91,98,98,98,51,2,2
96,90,97,54,46,1,2
92,95,91,70,52,1,2
97,94,99,83,85,2,1
96,96,94,42,42,2,3
99,95,96,91,66,2,2
96,91,97,89,93,1,1
97,94,90,70,49,2,2
90,95,97,58,46,2,2
96,97,99,97,76,2,1
93,96,97,59,51,1,2
99,99,94,55,48,2,2
96,99,90,30,74,1,2
97,99,92,43,42,2,3
98,92,93,85,81,2,2
95,90,96,93,65,1,2
98,91,93,51,54,2,2
96,99,90,63,85,2,2
93,91,90,81,60,2,2
97,98,94,68,59,1,2
92,95,99,88,41,1,2
96,92,97,71,53,1,2
98,91,93,54,72,2,2
94,98,91,44,53,1,2
91,95,96,50,69,1,2
98,91,94,51,47,1,2
98,99,97,48,92,2,2
94,93,93,77,60,1,2
93,97,96,66,89,1,2
92,98,99,62,94,2,2
90,94,94,98,46,2,2
98,90,92,83,70,1,2
91,97,99,91,74,1,1
98,90,94,85,86,2,1
93,91,91,78,70,1,2
90,97,96,55,97,2,2
93,98,93,84,63,2,2
98,95,95,55,82,1,2
85,90,92,92,80,1,2
94,96,98,90,57,2,2
92,98,90,53,89,2,2
97,96,94,43,49,1,2
91,92,95,42,62,1,2
99,91,98,42,74,2,2
98,94,91,42,72,1,2
91,99,91,93,81,1,1
99,96,97,80,79,1,1
91,92,95,81,48,1,2
99,99,98,83,83,1,1
93,91,99,99,70,1,1
97,91,90,54,92,1,2
93,91,97,44,65,1,2
91,97,93,83,69,2,2
97,97,94,40,42,2,3
98,91,92,64,80,2,2
92,95,98,58,43,1,2
93,95,96,48,91,1,2
92,93,91,62,83,2,2
95,94,96,68,59,1,2
99,98,98,40,83,2,2
98,99,92,95,45,1,2
95,93,95,93,64,1,2
91,94,96,60,94,2,2
90,91,94,43,55,2,3
94,89,99,49,90,1,2
90,92,93,63,52,2,2
90,90,92,47,64,2,2
92,94,91,54,68,1,2
94,97,92,92,95,2,1
99,93,92,77,75,1,2
95,99,97,83,49,2,2
91,90,99,75,67,2,2
92,91,92,53,75,2,2
91,91,99,41,91,2,2
95,90,97,63,85,1,2
92,90,98,99,80,1,1
90,99,96,52,52,2,2
91,93,95,60,70,1,2
96,91,91,94,49,2,2
95,97,94,43,73,2,2
97,94,90,79,68,1,2
97,96,93,42,92,1,2
97,91,92,88,72,1,2
97,97,94,55,62,2,2
93,92,90,66,76,2,2
95,99,93,49,76,1,2
89,98,93,82,40,2,2
90,94,93,47,35,1,3
96,91,85,70,47,1,2
96,91,94,53,90,1,2
95,93,93,51,81,1,2
94,98,86,61,49,1,2
92,98,97,56,83,2,2
92,90,91,51,78,2,2
95,94,99,43,97,1,2
88,97,92,83,81,1,2
91,98,92,73,57,1,2
96,92,95,44,43,2,3
98,98,93,81,98,1,1
98,97,92,57,53,2,2
94,90,92,77,56,1,2
98,93,93,70,44,2,2
95,89,92,61,49,2,2
90,99,90,49,41,1,3
97,93,95,88,90,1,1
95,93,93,59,94,2,2
96,95,94,57,52,1,2
98,99,98,83,72,2,1
96,96,97,49,89,1,2
90,92,90,75,68,1,2
90,98,92,26,97,1,2
93,93,96,88,97,1,1
97,91,91,53,67,2,2
92,96,90,67,69,1,2
97,96,91,61,56,1,2
97,96,90,93,41,1,2
92,99,99,50,61,1,2
94,94,98,48,66,2,2
95,95,91,45,45,2,3
97,98,90,49,66,2,2
91,95,95,98,92,1,1
92,95,97,50,43,2,2
98,97,92,99,69,2,1
95,96,99,58,89,1,2
96,93,94,76,40,2,2
90,99,92,68,98,1,2
92,97,85,71,73,1,2
95,92,93,92,73,1,2
98,90,96,99,96,1,1
99,97,94,78,51,1,2
98,90,91,80,63,2,2
96,92,97,40,86,2,2
90,95,92,66,94,2,2
95,98,95,45,80,1,2
99,95,94,68,54,1,2
98,91,94,40,60,1,2
97,90,91,72,81,1,2
92,98,92,83,74,1,2
97,90,96,73,72,1,2
96,94,97,90,83,2,1
86,99,97,88,78,1,2
92,94,95,82,96,2,1
93,98,95,69,43,1,2
96,98,92,89,60,2,2
99,99,94,95,60,1,2
99,86,92,76,44,2,2
90,92,93,97,73,2,2
92,96,99,77,83,1,2
91,96,99,57,68,1,2
90,91,94,44,73,2,2
94,90,97,61,88,2,2
91,98,95,42,69,2,2
96,97,98,58,95,1,2
93,90,90,73,91,2,2
90,90,98,43,60,1,2
94,92,94,81,66,1,2
90,98,96,66,49,1,2
95,90,92,59,89,1,2
92,99,95,78,50,2,2
92,93,96,82,97,2,1
97,98,88,77,99,2,1
97,98,96,41,44,1,2
91,92,94,53,97,2,2
90,97,99,88,98,1,1
92,86,97,76,81,2,2
94,91,95,71,99,1,1
91,92,90,78,89,1,2
93,97,92,61,50,1,2
95,97,97,62,55,1,2
96,96,99,53,44,2,2
95,86,93,52,47,2,3
93,98,93,46,60,1,2
96,99,90,89,96,2,1
92,98,91,73,46,1,2
91,98,90,77,89,1,2
93,98,93,69,98,2,1
98,94,92,84,94,1,1
91,94,91,83,91,2,1
90,99,94,98,45,1,2
85,95,90,68,64,1,2
93,97,96,89,46,2,2
92,92,94,49,67,1,2
95,99,99,91,85,2,1
94,99,99,97,76,1,1
98,93,94,42,68,2,2
91,86,89,85,90,2,2
96,96,92,95,35,2,2
99,90,95,99,67,2,1
96,99,90,47,51,2,2
97,94,98,44,76,2,2
96,96,93,83,65,2,2
97,98,97,91,81,2,1
99,90,98,69,82,1,2
91,98,96,54,90,1,2
90,99,92,85,94,2,1
97,95,94,55,53,2,2
92,96,97,51,78,1,2
92,91,90,79,53,1,2
92,92,97,74,46,2,2
94,94,93,71,50,2,2
98,97,92,48,60,1,2
93,99,97,76,50,2,2
99,93,95,54,56,1,2
95,87,93,96,60,1,2
93,92,86,98,64,1,2
92,90,93,74,90,1,2
95,95,95,78,76,2,2
96,96,96,51,41,1,2
99,95,92,64,54,1,2
98,94,90,68,82,1,2
96,99,93,65,55,1,2
98,97,99,97,48,2,2
98,91,92,48,44,2,3
98,98,91,83,69,2,2
96,94,95,48,92,2,2
91,95,95,41,64,2,2
91,93,93,77,46,2,2
91,95,94,99,89,2,1
96,99,91,72,59,2,2
97,91,89,55,82,2,2
94,92,93,52,58,2,2
91,90,95,80,60,2,2
94,97,92,68,48,2,2
97,91,90,97,51,1,2
96,85,97,65,41,2,2
91,97,90,85,40,2,2
92,91,95,72,95,2,2
95,99,94,84,59,2,2
94,95,90,95,94,1,1
98,97,96,68,56,2,2
96,94,98,73,53,2,2
95,87,98,97,71,1,2
94,99,90,59,62,2,2
96,99,98,58,99,1,1
97,90,97,68,85,1,2
98,98,93,60,48,2,2
92,97,96,89,55,2,2
96,95,95,55,98,1,2
92,94,93,53,76,2,2
92,90,94,54,52,1,2
96,92,91,87,65,1,2
93,94,85,72,49,2,2
96,98,92,46,64,2,2
91,91,86,80,64,1,2
90,93,99,72,54,1,2
92,97,98,76,89,2,1
98,98,97,65,69,1,2
92,99,98,80,46,1,2
95,94,91,80,57,1,2
93,95,92,59,47,2,2
93,97,90,66,68,1,2
98,98,90,100,56,1,2
98,87,98,89,56,2,2
98,90,95,63,93,2,2
96,93,97,53,87,2,2
90,90,90,91,88,2,2
98,90,90,80,86,2,2
96,90,99,74,54,2,2
93,96,96,52,60,2,2
96,94,96,67,81,1,2
99,94,99,44,43,2,2
96,96,86,77,63,2,2
93,90,94,25,52,1,3
87,98,90,79,40,2,2
90,96,90,75,52,1,2
90,90,94,66,63,1,2
90,96,92,41,81,1,2
94,91,90,57,93,1,2
91,95,92,82,44,1,2
94,86,93,84,51,1,2
93,98,97,94,88,2,1
94,94,99,81,97,1,1
93,99,99,73,76,1,2
96,92,91,85,94,1,1
90,93,99,94,65,1,2
98,94,89,91,56,1,2
98,96,98,78,99,1,1
91,90,90,47,75,2,2
91,96,90,83,83,1,2
95,92,97,99,47,1,2
90,99,90,63,99,1,2
92,91,94,43,42,2,3
99,97,91,97,84,2,1
97,94,95,91,54,1,2
93,95,92,59,84,1,2
91,94,86,78,78,2,2
95,96,97,50,89,1,2
93,91,95,57,71,2,2
95,94,99,42,60,1,2
95,91,99,57,66,1,2
98,92,98,70,83,2,2
90,91,92,93,58,2,2
91,99,91,67,86,2,2
96,91,97,42,95,2,2
97,98,94,59,67,1,2
97,99,90,65,77,2,2
92,97,90,82,64,2,2
96,93,91,99,76,1,1
96,91,98,94,41,1,2
98,94,95,71,89,1,2
95,94,86,44,91,2,2
85,98,96,50,85,2,2
92,96,96,51,83,2,2
90,96,90,55,98,1,2
91,90,92,53,73,1,2
91,87,96,88,78,1,2
94,99,93,49,81,2,2
91,99,98,56,91,2,2
92,93,94,78,41,2,2
99,95,93,91,71,2,2
91,99,97,64,93,2,2
90,85,98,89,82,2,2
93,93,93,77,96,2,1
95,90,92,94,95,2,1
98,94,89,64,85,1,2
93,90,99,86,94,1,1
92,87,96,49,47,1,3
90,99,86,71,55,2,2
94,95,95,40,85,2,2
97,93,95,59,85,1,2
97,99,96,45,63,2,2
96,99,94,91,77,2,1
91,97,91,42,42,2,3
94,88,94,77,79,1,2
99,97,99,42,66,2,2
92,91,91,43,53,1,3
91,97,85,84,52,1,2
96,93,91,79,98,1,1
95,96,91,94,43,1,2
91,97,90,52,78,2,2
92,99,93,53,96,2,2
96,92,95,63,87,1,2
94,87,99,72,44,2,2
97,92,95,47,44,1,2
92,98,92,64,78,1,2
99,93,88,46,69,2,2
98,97,91,40,88,2,2
96,96,93,63,91,1,2
91,91,85,79,77,2,2
97,99,93,82,81,1,1
93,90,98,81,91,1,1
94,91,90,74,61,2,2
92,88,91,41,42,1,3
96,99,94,56,97,1,2
97,97,98,44,68,1,2
92,97,91,74,95,1,2
95,96,90,77,74,2,2
94,94,92,52,50,1,2
91,94,86,42,94,2,2
96,99,96,99,50,2,2
91,94,97,89,75,2,2
86,90,95,54,55,1,2
98,95,98,79,57,1,2
99,98,92,49,79,1,2
93,93,90,98,48,1,2
92,92,98,55,92,1,2
90,95,93,78,59,1,2
93,95,92,49,95,2,2
90,97,90,90,46,1,2
96,92,99,63,99,2,2
99,95,97,92,83,2,1
96,93,94,40,42,2,3
94,94,96,54,64,1,2
97,91,86,86,28,1,2
95,89,90,76,51,2,2
95,96,98,49,97,1,2
98,90,97,57,59,2,2
90,96,97,65,41,1,2
90,98,99,64,41,1,2
93,91,92,75,40,1,2
96,98,90,98,62,2,2
96,92,98,96,46,1,2
94,99,99,52,40,2,2
96,92,93,45,82,2,2
93,94,99,51,48,2,2
94,96,92,66,100,2,2
92,90,98,68,98,1,2
97,90,90,57,76,1,2
98,97,93,83,67,2,2
94,90,98,57,63,1,2
92,90,88,67,50,2,2
92,95,93,51,47,2,2
91,90,92,78,95,2,2
96,97,90,94,45,1,2
97,96,90,53,78,1,2
95,93,97,97,87,2,1
96,91,90,49,49,2,2
96,93,99,94,77,2,1
96,94,90,60,75,1,2
96,98,93,56,67,1,2
94,96,95,28,99,2,2
98,96,92,63,93,2,2
93,98,96,92,83,1,1
96,90,93,58,69,2,2
95,90,99,81,84,2,2
98,93,98,67,49,1,2
97,95,93,58,82,1,2
95,97,95,93,88,1,1
94,96,92,52,74,1,2
96,95,94,84,80,1,2
98,95,92,80,66,1,2
92,92,87,87,94,2,1
92,99,98,75,62,1,2
95,96,95,67,66,2,2
97,95,94,64,88,2,2
97,96,91,84,99,1,1
94,95,97,62,94,2,2
98,99,91,43,61,2,2
94,90,95,92,72,1,2
93,90,94,99,99,2,1
91,86,92,67,65,2,2
93,97,96,41,85,2,2
90,95,93,42,92,1,2
94,98,98,85,59,1,2
93,98,91,45,45,1,3
96,95,97,74,81,2,2
91,96,94,92,88,2,1
92,95,99,96,94,2,1
95,94,93,89,89,2,1
98,96,91,83,44,1,2
95,92,91,66,77,1,2
91,91,96,79,37,1,2
91,99,98,48,91,1,2
95,95,97,64,57,1,2
95,91,95,96,92,1,1
96,98,87,56,90,2,2
93,97,95,95,43,1,2
93,92,99,67,89,1,2
90,96,98,63,70,2,2
94,88,96,42,51,1,3
97,99,95,73,46,2,2
95,99,96,78,88,2,1
93,92,88,90,42,2,2
90,99,98,64,85,1,2
95,98,96,59,71,1,2
96,91,97,49,98,1,2
95,91,96,55,77,2,2
98,98,90,48,68,1,2
90,90,93,78,73,2,2
91,93,92,99,50,2,2
93,90,96,46,52,1,2
95,90,87,63,47,1,2
91,95,94,42,68,2,2
99,98,93,46,82,2,2
91,99,91,36,87,2,2
91,92,94,50,47,1,3
98,91,92,50,49,2,2
99,95,92,73,48,1,2
98,96,99,71,50,1,2
96,99,90,97,60,1,2
95,96,99,61,82,1,2
93,95,99,75,65,1,2
93,90,90,93,67,1,2
96,90,96,88,93,1,1
92,93,85,82,53,1,2
96,95,93,88,60,2,2
94,94,97,77,97,1,1
91,94,98,65,53,1,2
99,99,96,92,92,1,1
95,92,99,58,92,1,2
95,94,91,56,54,2,2
94,94,94,94,53,2,2
92,91,91,69,54,1,2
98,96,98,52,51,2,2
91,88,98,78,43,1,2
91,90,97,59,91,2,2
96,91,98,73,92,1,1
99,97,90,81,87,2,1
98,91,99,45,60,1,2
95,99,95,68,62,2,2
92,96,94,52,53,1,2
96,86,95,93,95,1,1
91,97,92,96,94,2,1
97,98,95,97,55,1,2
92,91,96,96,85,2,1
92,98,93,42,55,1,2
93,98,98,40,80,2,2
92,91,99,58,58,1,2
96,92,87,73,69,2,2
95,94,94,92,75,2,1
95,92,97,47,62,1,2
94,93,97,52,95,2,2
91,97,94,64,50,2,2
98,93,92,98,49,1,2
92,97,90,98,98,1,1
90,94,95,91,48,1,2
92,90,92,78,92,2,2
92,98,93,55,68,2,2
91,97,92,48,27,1,3
85,91,92,46,56,2,3
93,90,96,75,43,1,2
91,94,93,47,44,1,3
91,97,97,49,53,2,2
96,99,92,71,78,1,2
93,96,98,75,95,2,1
95,95,93,77,42,1,2
90,99,91,63,80,1,2
96,85,93,58,84,1,2
95,94,97,51,45,2,2
93,90,99,53,75,1,2
98,99,97,93,44,2,2
91,99,94,60,76,1,2
91,97,90,45,82,1,2
95,86,93,89,93,1,1
91,93,96,62,86,1,2
97,97,97,99,62,2,1
94,95,95,67,90,1,2
96,90,91,80,91,1,2
90,98,92,73,48,1,2
96,90,99,85,50,1,2
98,95,97,59,57,1,2
93,96,90,30,66,1,2
92,96,91,64,74,1,2
90,94,98,86,84,2,1
96,94,95,96,45,2,2
94,94,96,88,97,2,1
99,90,85,89,53,2,2
94,95,98,83,82,1,1
92,93,97,79,85,1,2
90,90,92,99,49,1,2
92,94,99,65,67,1,2
97,97,93,57,76,1,2
91,93,92,68,59,1,2
90,98,93,95,43,2,2
98,93,99,76,55,2,2
90,93,94,84,91,2,1
92,97,94,75,67,2,2
97,92,92,55,42,2,2
96,85,98,70,76,1,2
99,91,99,84,68,2,2
90,91,93,71,77,2,2
99,97,90,42,81,1,2
95,92,85,99,92,1,1
95,96,98,75,87,2,1
94,94,93,93,97,2,1
95,94,88,80,73,2,2
97,94,97,55,84,1,2
96,97,90,76,89,1,2
99,95,92,62,45,1,2
99,87,91,98,83,1,1
92,93,92,58,84,2,2
99,98,91,98,98,2,1
95,98,90,56,97,2,2
96,91,93,85,93,1,1
97,91,97,61,95,2,2
91,94,91,81,85,1,2
90,90,98,49,54,1,2
95,98,87,98,46,1,2
99,87,93,67,96,1,2
91,98,93,82,85,1,2
90,98,93,90,45,1,2
99,93,99,45,59,2,2
92,97,96,92,63,1,2
92,92,89,84,98,1,1
96,96,92,90,90,1,1
98,98,93,44,92,1,2
93,92,96,55,79,2,2
96,93,94,100,64,2,2
91,91,94,95,49,2,2
98,94,90,90,57,2,2
90,94,89,47,58,2,2
90,96,90,53,90,2,2
95,91,96,55,50,2,2
98,95,93,81,93,1,1
90,98,90,94,44,2,2
97,98,94,81,57,1,2
99,89,91,61,78,1,2
90,96,99,96,72,1,1
95,96,98,90,80,2,1
97,97,90,82,66,2,2
91,98,99,76,96,2,1
90,93,93,82,61,2,2
93,93,92,92,44,1,2
95,94,99,53,61,2,2
96,90,90,51,60,2,2
92,98,94,75,40,1,2
92,94,87,62,41,1,2
94,92,93,49,65,1,2
90,87,97,42,46,2,3
91,98,98,94,97,1,1
92,94,92,84,50,1,2
95,93,91,55,81,2,2
95,95,98,51,86,2,2
99,99,97,97,57,2,2
99,92,95,94,66,1,2
94,89,96,58,65,2,2
97,91,99,81,77,2,2
92,90,91,94,87,2,1
92,96,90,67,60,1,2
93,95,91,85,64,2,2
94,91,96,44,88,1,2
93,92,98,66,69,2,2
90,91,96,49,47,1,3
95,90,89,61,49,2,2
98,91,89,82,78,2,2
94,90,92,57,47,2,2
93,95,97,81,60,1,2
92,92,99,41,66,1,2
97,87,94,66,47,1,2
95,94,93,85,42,2,2
99,95,99,60,71,2,2
99,97,96,40,46,1,2
98,99,90,79,49,2,2
93,98,94,82,98,1,1
95,98,98,71,82,2,2
90,94,99,90,71,2,2
90,99,94,89,81,1,1
95,94,94,72,44,1,2
95,96,86,82,63,2,2
93,92,94,40,65,1,2
90,98,97,58,99,2,2
92,95,95,45,55,1,2
96,95,91,74,97,2,1
95,93,93,91,53,1,2
90,88,98,31,96,2,2
97,90,92,73,87,1,2
90,99,99,69,99,1,1
99,95,95,74,72,1,2
94,91,97,97,62,2,2
99,90,89,65,64,2,2
95,95,92,99,56,1,2
97,99,98,87,43,1,2
99,89,98,59,67,1,2
95,92,91,59,64,1,2
98,97,93,78,65,2,2
95,91,99,42,87,1,2
92,91,91,99,55,2,2
90,99,94,68,98,1,2
90,99,91,60,62,2,2
97,97,94,97,47,2,2
98,99,95,41,88,2,2
99,96,92,80,84,2,1
95,90,99,46,82,1,2
99,93,93,51,75,1,2
98,93,96,81,58,2,2
92,91,88,71,44,1,2
97,97,94,75,64,2,2
97,92,98,49,95,1,2
