School_Percentage,Aptitude_Test,Acadmic_Achievement,Programming1,Programming2,Data_Structure,Visual_Programming,School_type,Color
93,85,94,68,74,95,87,1,2
85,97,93,40,60,49,81,1,3
97,97,92,48,72,36,41,1,3
93,99,99,73,70,71,67,2,2
94,92,85,86,73,82,89,1,2
97,96,98,76,97,55,81,2,2
96,95,91,85,87,44,72,1,2
96,85,95,73,43,57,56,2,3
98,95,98,99,87,97,90,1,1
95,97,98,43,87,69,79,2,2
99,90,97,70,75,41,52,2,3
99,91,92,62,87,63,68,1,2
91,91,88,62,62,45,90,2,2
97,90,96,72,79,93,60,2,2
96,97,91,55,64,56,86,2,2
93,90,91,95,61,63,69,1,2
91,97,97,65,75,58,83,1,2
94,97,93,40,51,66,92,1,2
90,85,92,53,56,51,46,1,3
90,91,95,48,97,80,63,1,2
95,93,92,77,81,86,83,2,2
93,93,96,92,66,66,24,2,2
99,91,95,88,57,45,81,1,2
98,95,87,52,86,46,97,1,2
98,90,96,91,76,40,86,1,2
93,94,99,47,69,77,93,2,2
93,98,98,54,86,65,77,1,2
96,98,95,98,83,49,82,1,2
90,91,94,92,83,61,76,1,2
85,99,91,96,40,82,50,2,2
97,98,88,97,71,74,83,1,2
92,91,91,48,47,47,99,2,3
98,94,93,84,88,94,58,2,2
97,90,94,49,89,47,43,1,3
98,99,99,90,63,61,62,1,2
99,85,90,44,57,57,62,1,3
96,91,90,41,63,58,72,2,3
91,95,97,54,72,94,70,2,2
95,96,91,59,68,87,44,1,2
91,98,93,84,43,92,44,2,2
94,93,94,52,67,58,78,1,2
94,96,96,94,84,54,52,2,2
93,98,96,79,92,87,89,2,1
97,95,97,27,85,97,53,2,2
96,89,94,71,60,57,66,2,2
93,93,95,51,96,79,73,1,2
94,96,88,56,71,93,46,2,2
96,95,93,55,55,82,66,2,2
94,91,94,95,74,94,77,1,2
98,97,95,57,88,46,45,1,2
92,98,93,64,60,100,62,2,2
98,94,94,50,91,63,75,2,2
90,93,99,71,78,44,60,2,2
99,93,86,99,68,70,49,2,2
89,92,94,85,51,93,72,1,2
91,88,94,76,46,30,81,1,3
99,94,92,52,58,48,52,2,3
92,98,96,60,80,48,58,1,2
93,97,95,50,89,81,82,2,2
96,98,97,40,55,63,50,2,3
97,93,89,80,76,66,62,1,2
93,98,94,61,85,67,67,2,2
99,91,96,88,86,62,59,2,2
95,99,95,60,99,63,46,1,2
99,85,95,66,54,54,62,2,3
92,90,93,61,55,53,59,2,3
93,96,95,50,56,40,65,2,3
91,90,90,79,86,93,62,2,2
94,99,96,52,94,87,39,1,2
99,92,88,89,41,43,86,2,2
91,94,91,85,94,48,87,2,2
94,92,96,69,60,67,82,2,2
92,96,91,47,91,43,53,1,3
93,94,92,66,82,89,42,1,2
92,97,95,85,96,81,71,2,2
98,98,96,45,98,77,74,2,2
97,97,90,59,90,99,89,2,2
90,98,94,85,64,71,92,2,2
88,89,92,48,62,87,81,2,2
91,93,97,41,87,94,64,1,2
95,91,93,93,52,70,97,2,2
98,97,90,71,78,67,51,1,2
93,95,90,80,45,42,94,2,2
91,97,90,95,76,44,66,1,2
97,90,89,66,72,64,48,2,2
95,96,90,95,45,54,89,2,2
90,97,98,45,52,61,94,2,2
91,95,90,78,75,66,41,2,2
96,99,96,69,70,91,73,2,2
99,96,94,97,51,70,68,1,2
92,94,95,35,83,97,62,1,2
99,98,90,56,54,68,60,2,2
90,96,96,42,57,75,45,1,3
95,95,98,90,65,88,81,1,2
97,85,93,92,99,57,80,1,2
95,93,92,58,44,94,59,2,2
96,99,95,72,95,85,55,2,2
96,93,94,50,83,53,74,2,2
91,97,85,66,92,58,89,2,2
94,96,90,84,92,45,78,2,2
93,92,96,75,80,87,51,1,2
99,93,95,74,46,71,40,2,3
97,92,94,86,72,93,78,1,2
98,85,94,57,62,31,60,2,3
93,97,99,48,64,68,47,2,3
91,97,98,44,73,62,68,1,2
90,96,90,60,52,87,85,1,2
92,97,93,96,88,91,86,1,1
86,96,89,48,81,99,42,1,2
94,98,92,97,65,66,51,2,2
93,90,98,56,60,82,61,1,2
99,97,99,40,48,51,73,2,3
93,93,94,86,74,59,44,1,2
93,98,94,96,88,88,44,2,2
94,99,98,47,85,71,76,2,2
94,97,96,48,42,87,41,1,3
97,86,92,76,58,66,50,2,2
90,96,97,83,64,75,83,2,2
96,91,93,83,56,98,83,1,2
94,99,92,60,93,41,53,2,2
93,94,86,43,52,97,98,2,2
90,97,90,80,56,99,97,1,2
96,91,97,86,79,53,41,2,2
90,93,93,98,91,87,40,2,2
99,92,98,89,52,59,77,2,2
93,90,90,57,99,59,62,1,2
92,90,95,70,29,76,72,1,3
96,86,96,92,43,77,99,1,2
95,94,90,92,84,57,51,1,2
94,97,94,91,80,95,91,2,1
94,91,95,51,54,47,61,1,3
90,97,93,41,76,60,48,1,3
98,97,99,75,71,68,62,2,2
99,97,90,88,76,73,82,1,2
90,96,91,68,48,48,78,2,3
92,94,98,99,53,64,34,1,2
93,98,89,94,73,56,52,1,2
95,97,95,71,90,51,42,1,2
91,96,98,70,86,57,99,2,2
91,98,90,56,84,92,48,1,2
88,90,93,68,51,97,79,2,2
86,92,97,60,86,98,66,2,2
87,93,92,92,91,96,64,2,2
87,94,96,80,90,63,78,2,2
97,97,98,71,40,66,52,1,3
98,96,88,41,73,59,86,2,2
91,93,90,82,92,82,92,2,2
93,94,94,91,44,67,89,2,2
89,89,91,89,95,67,69,2,2
95,94,91,82,70,88,67,1,2
97,90,85,55,44,69,56,1,3
93,97,96,47,62,66,96,1,2
98,92,91,49,41,78,58,1,3
94,90,97,62,59,84,94,1,2
95,90,95,42,83,80,72,2,2
96,98,91,28,54,41,42,2,3
91,90,99,64,68,67,73,2,2
92,85,99,73,41,44,85,2,3
94,91,98,97,45,59,66,2,2
91,96,92,68,60,40,87,2,2
94,98,94,84,58,42,81,1,2
91,90,87,66,59,58,71,1,3
97,98,92,42,60,90,96,2,2
91,93,97,69,40,93,76,1,2
88,95,91,42,79,44,82,2,3
94,90,94,64,53,78,52,2,2
97,94,98,98,45,53,81,1,2
98,86,97,63,70,92,59,1,2
97,99,96,80,92,66,80,2,2
98,99,98,93,87,38,59,2,2
94,97,90,80,84,55,89,1,2
97,95,92,93,57,94,60,1,2
99,99,92,85,71,43,72,2,2
97,98,90,88,49,61,46,2,2
96,98,98,64,46,94,96,1,2
91,96,87,95,40,96,47,1,2
93,98,92,85,84,91,42,2,2
96,93,95,58,60,49,74,1,2
97,94,96,50,95,54,48,2,2
94,99,94,89,47,82,51,2,2
91,94,92,78,89,75,70,1,2
90,99,88,42,97,77,76,1,2
91,90,94,40,95,54,43,1,3
92,90,98,89,48,68,68,2,2
97,90,91,76,88,78,85,1,2
95,98,93,97,45,56,64,1,2
91,94,94,63,41,64,52,1,3
96,95,95,40,75,32,82,1,3
94,98,91,78,98,92,98,2,1
93,97,96,63,97,65,99,2,2
99,99,97,75,80,62,53,2,2
93,96,93,76,84,54,83,1,2
92,89,90,90,48,73,45,2,2
99,93,94,45,60,90,61,2,2
97,92,96,58,52,41,86,2,3
99,99,96,57,75,80,42,2,2
94,92,93,95,69,69,96,2,2
90,93,97,73,75,40,68,2,2
98,98,90,40,57,98,48,2,2
94,93,93,46,47,68,99,2,2
98,95,97,80,64,53,64,1,2
96,95,92,55,94,68,73,1,2
91,93,98,79,86,64,45,1,2
91,95,88,56,91,70,68,2,2
91,99,96,52,95,57,64,2,2
98,98,98,42,58,62,83,1,2
96,93,93,57,46,79,51,2,3
95,92,99,28,56,86,96,1,2
91,99,99,91,47,76,85,1,2
93,92,94,67,87,57,52,1,2
94,88,94,52,91,81,47,1,2
93,98,92,61,46,61,59,2,3
98,91,98,48,85,49,61,2,2
99,98,97,51,72,46,63,2,2
95,94,92,69,56,94,88,1,2
91,93,92,82,55,56,51,1,3
96,96,95,88,57,61,62,2,2
90,98,99,99,81,85,46,2,2
96,92,92,50,86,65,82,1,2
95,94,89,43,66,45,93,2,2
93,99,98,57,89,85,49,2,2
88,91,99,64,59,78,45,1,3
90,98,98,52,74,54,81,2,2
94,97,93,68,32,99,57,1,2
91,92,92,59,42,58,94,1,2
92,96,97,41,93,56,46,2,3
92,91,99,79,92,47,54,2,2
95,89,97,98,76,68,97,1,2
96,90,99,45,58,66,85,1,2
96,95,97,51,85,64,87,1,2
95,99,96,87,79,69,53,1,2
91,95,90,43,60,48,46,2,3
89,91,93,76,87,93,61,2,2
89,99,98,51,54,79,57,2,2
94,99,93,61,82,79,73,2,2
92,90,95,85,97,67,96,2,2
94,90,96,76,45,59,82,1,2
98,98,93,54,80,43,89,1,2
98,90,91,45,58,88,60,1,2
96,98,93,49,62,82,80,1,2
94,99,89,64,58,99,64,1,2
97,92,91,81,45,90,29,1,2
88,91,98,71,69,46,91,1,2
92,99,90,78,62,62,91,1,2
94,93,90,56,45,82,75,1,2
90,94,94,70,97,86,85,2,2
95,92,91,66,80,77,63,2,2
95,96,96,80,86,92,87,2,1
94,91,93,69,75,79,49,1,2
88,96,97,58,65,95,60,2,2
96,93,90,52,77,87,61,1,2
95,95,90,59,88,52,90,1,2
93,85,94,42,49,48,77,2,3
91,93,95,73,68,48,60,1,2
96,94,91,96,41,74,63,2,2
97,96,87,52,60,70,75,1,2
99,96,93,57,71,65,90,2,2
90,98,99,53,54,66,53,2,3
96,96,91,90,36,53,86,2,2
90,95,99,47,51,90,53,1,2
97,95,93,65,66,64,99,1,2
89,97,95,80,44,82,86,2,2
87,86,94,98,53,81,57,1,2
91,90,95,96,58,74,75,1,2
90,89,92,87,40,59,63,2,3
95,95,94,82,70,78,57,1,2
88,99,91,76,52,63,76,2,2
97,96,99,66,93,77,90,2,2
88,92,96,93,82,81,68,1,2
86,85,92,92,79,63,76,2,2
98,98,98,92,98,40,56,2,2
93,92,94,78,40,98,56,1,2
95,93,98,97,72,59,50,1,2
88,90,97,57,52,83,63,1,2
95,93,99,52,65,52,92,1,2
92,90,91,82,56,85,92,1,2
98,90,89,90,44,92,95,1,2
99,98,95,65,96,58,98,1,2
89,97,97,68,94,98,51,1,2
97,91,99,88,62,66,36,2,2
95,94,93,71,98,87,82,1,2
93,98,98,55,51,87,59,1,2
90,92,90,87,58,46,99,1,2
87,95,95,59,43,80,72,2,2
98,94,91,42,46,40,58,2,3
91,94,96,63,93,40,51,1,2
96,86,97,45,59,47,63,2,3
91,95,99,55,83,46,97,2,2
91,96,96,56,77,83,81,2,2
89,90,90,75,34,56,59,2,3
90,96,98,54,68,95,45,2,2
95,90,98,84,82,70,70,1,2
95,99,91,44,92,58,48,2,2
90,97,93,92,55,48,50,2,2
99,94,98,52,91,56,54,2,2
97,97,99,81,81,40,80,1,2
97,97,94,58,48,41,47,1,3
99,96,87,67,43,45,80,2,3
92,94,97,77,92,52,89,2,2
96,90,98,86,60,66,48,1,2
95,90,90,68,63,40,55,2,3
94,98,96,63,43,78,52,1,3
95,97,91,86,66,65,42,1,2
88,92,99,56,57,76,64,2,2
95,98,91,47,79,72,50,1,2
93,99,99,40,43,84,77,1,2
91,95,99,86,95,64,53,1,2
95,99,90,67,82,44,57,2,2
99,86,93,94,95,62,45,1,2
96,98,94,42,50,86,46,2,3
93,97,95,57,90,58,91,2,2
95,92,94,96,49,49,50,2,2
93,99,90,58,86,61,47,1,2
91,90,94,69,98,98,54,2,2
90,99,98,45,73,69,52,2,2
90,97,98,97,50,60,66,1,2
90,90,98,40,52,49,88,1,3
93,95,98,50,86,42,73,2,2
85,99,88,88,46,98,92,1,2
92,98,96,42,55,93,57,1,2
91,97,94,87,59,67,98,2,2
90,92,95,97,76,61,83,2,2
94,90,98,67,85,93,63,1,2
94,99,98,90,75,73,74,1,2
93,90,95,60,45,63,41,2,3
96,96,93,62,93,82,87,2,2
94,98,96,64,48,89,95,2,2
92,96,91,93,68,88,43,1,2
94,99,91,86,40,64,70,2,2
91,88,94,38,50,45,84,1,3
90,92,99,69,76,55,79,2,2
93,94,91,92,66,95,52,1,2
99,99,89,75,54,94,46,2,2
94,93,92,73,40,36,84,1,3
99,97,92,78,63,62,52,1,2
88,92,94,86,44,72,73,1,2
90,96,95,70,44,81,44,2,3
94,95,92,94,60,51,41,2,2
95,94,92,84,62,95,47,2,2
96,93,97,59,88,70,47,2,2
90,97,98,73,60,69,61,1,2
92,96,91,49,92,82,99,2,2
86,86,99,54,84,52,93,1,2
93,93,98,81,98,70,59,2,2
90,93,99,97,54,45,51,2,2
99,96,95,96,56,61,80,2,2
91,98,92,47,66,43,89,1,2
86,93,91,58,83,89,57,1,2
96,97,92,81,63,42,55,1,2
90,92,98,80,47,40,53,1,3
92,94,96,70,76,77,48,2,2
97,96,95,83,41,89,75,2,2
92,97,95,79,57,61,64,2,2
95,90,91,47,96,44,45,2,3
93,99,95,27,40,93,82,2,2
88,92,91,49,86,59,74,1,2
93,96,88,74,73,56,90,2,2
99,94,95,45,46,69,51,1,3
97,94,99,61,52,50,96,2,2
98,92,94,63,52,46,51,1,3
85,92,99,88,45,51,92,2,2
95,91,90,51,56,93,88,2,2
97,96,92,46,94,45,94,2,2
95,90,95,59,49,67,69,1,3
90,98,93,74,47,88,61,1,2
96,97,96,52,71,41,47,2,3
88,91,93,56,40,71,65,1,3
96,91,98,45,41,28,41,2,3
96,87,93,52,85,88,73,2,2
87,94,95,96,87,93,45,2,2
95,91,94,77,85,57,92,1,2
95,97,95,58,92,58,58,1,2
98,95,93,54,81,58,95,2,2
91,93,94,66,88,64,74,2,2
95,95,91,56,65,90,49,2,2
97,97,99,76,72,55,89,2,2
86,92,96,73,58,40,50,2,3
90,99,95,53,73,85,76,1,2
93,98,98,64,61,95,80,1,2
92,96,86,97,50,87,76,1,2
91,98,90,68,93,81,65,1,2
91,97,93,68,51,48,73,2,3
92,98,98,44,62,52,46,1,3
97,93,96,75,40,92,94,2,2
99,92,92,75,53,73,42,2,2
85,97,95,94,52,96,44,2,2
95,95,98,64,98,48,75,1,2
94,97,95,77,70,99,98,2,1
98,92,97,58,95,42,79,2,2
95,86,98,60,54,83,31,1,3
93,95,92,80,59,76,54,2,2
94,93,98,88,86,99,50,2,2
93,92,97,40,74,74,56,1,2
96,91,96,86,69,71,67,1,2
89,90,91,43,58,79,72,1,3
99,91,97,82,84,47,66,2,2
91,98,99,81,52,76,57,2,2
99,92,96,45,83,69,64,2,2
98,97,93,88,51,87,51,2,2
96,92,90,60,85,91,54,2,2
91,99,98,97,95,53,46,2,2
92,91,90,70,63,62,49,2,3
97,94,86,56,76,60,55,2,3
93,96,91,66,96,46,59,2,2
97,93,90,63,90,92,94,2,2
95,98,99,68,54,79,46,2,2
93,90,94,78,64,59,68,1,2
92,97,98,95,45,51,59,2,2
96,98,94,62,90,46,62,2,2
98,98,96,92,63,50,93,1,2
88,98,97,53,95,68,60,1,2
99,88,95,55,71,58,70,1,2
97,91,94,84,85,73,89,1,2
97,95,94,29,72,59,69,1,3
97,95,99,77,96,44,85,2,2
99,95,96,85,84,42,53,1,2
94,95,98,78,87,62,96,1,2
98,96,99,55,82,75,52,2,2
99,93,90,46,85,72,88,2,2
90,93,91,72,66,68,72,2,2
94,96,93,42,56,88,76,2,2
99,97,94,58,90,75,57,1,2
93,97,91,52,75,81,95,2,2
97,98,87,96,44,93,41,2,2
99,98,98,67,45,69,92,2,2
97,93,96,50,87,40,73,1,2
97,97,94,78,55,76,77,1,2
94,91,97,83,98,74,64,2,2
92,96,93,42,99,73,83,1,2
90,94,92,62,86,92,61,2,2
96,93,91,95,64,97,70,1,2
95,91,98,60,57,50,91,2,2
93,91,95,83,47,63,93,1,2
93,91,99,68,94,25,81,2,2
90,98,99,50,43,96,87,1,2
97,99,90,99,50,81,90,2,2
94,90,94,90,64,97,64,1,2
93,88,98,40,66,65,45,1,3
94,99,94,53,95,51,54,1,2
98,96,92,68,82,98,76,1,2
89,93,93,43,86,51,42,1,3
93,91,94,94,90,53,51,1,2
97,91,98,87,60,72,99,1,2
92,96,91,52,98,71,70,2,2
97,90,90,82,72,54,70,1,2
92,98,90,60,92,73,98,2,2
96,96,99,79,59,92,98,1,2
92,96,97,77,65,43,98,1,2
91,91,86,48,85,81,56,2,2
88,91,98,61,65,87,81,2,2
95,92,96,68,68,42,86,2,2
90,95,99,52,96,52,43,1,2
93,92,91,71,86,68,66,2,2
91,90,98,68,49,59,36,2,3
91,92,95,62,40,43,82,1,3
96,95,93,71,72,69,97,1,2
99,91,95,71,60,58,81,1,2
91,91,94,92,84,80,53,2,2
94,87,93,68,69,84,62,2,2
99,96,90,77,65,42,47,1,3
87,90,94,76,59,43,40,1,3
92,95,90,94,47,52,62,1,2
99,98,95,67,73,89,53,2,2
99,94,92,49,42,69,82,1,2
94,98,95,78,54,97,90,1,2
98,93,96,56,57,81,77,2,2
98,90,91,76,99,70,88,2,2
97,98,94,96,62,96,66,2,2
95,94,98,41,47,76,70,2,3
91,94,95,68,46,67,85,2,2
96,99,98,33,56,78,97,2,2
89,99,88,62,90,65,95,2,2
97,96,98,55,73,90,45,1,2
88,98,94,63,40,42,60,2,3
93,94,90,62,98,74,42,1,2
91,91,97,54,80,87,44,1,2
99,96,97,46,75,74,83,2,2
92,94,95,47,44,44,94,2,3
90,97,97,69,96,95,70,1,2
94,92,98,66,68,80,56,2,2
94,93,92,43,95,86,57,1,2
96,95,90,89,77,62,56,1,2
96,89,96,83,58,53,85,2,2
88,96,98,75,60,30,89,2,2
97,99,97,74,93,89,83,2,1
96,96,96,46,64,40,46,1,3
88,94,94,90,56,54,68,2,2
88,93,93,86,66,89,86,1,2
92,95,91,71,58,45,84,2,2
92,97,97,45,99,42,87,1,2
96,94,85,40,43,88,66,1,3
96,91,99,77,98,74,82,1,2
98,90,92,67,52,86,97,2,2
98,96,99,95,41,57,56,2,2
96,98,94,93,66,65,86,2,2
93,91,93,50,41,81,86,2,2
96,96,93,87,92,55,50,2,2
88,92,95,76,81,65,95,1,2
95,85,98,49,91,89,64,2,2
97,90,91,76,75,93,83,2,2
91,99,90,76,84,82,34,2,2
93,95,93,84,55,40,83,2,2
99,99,94,83,89,72,93,2,2
93,92,99,61,63,55,55,1,3
91,91,90,66,69,51,84,2,2
98,99,94,87,90,55,59,2,2
90,97,93,56,80,97,63,1,2
92,90,95,53,49,62,84,1,2
99,92,97,99,66,93,99,2,1
91,93,91,62,52,51,42,2,3
99,90,88,64,77,50,66,2,2
94,95,92,70,78,57,63,1,2
96,90,97,73,47,95,88,1,2
96,94,98,98,93,88,61,2,2
95,94,99,92,46,93,42,1,2
97,98,93,57,87,78,50,2,2
97,92,90,30,61,62,40,1,3
98,98,90,59,61,70,66,2,2
95,86,91,54,55,42,82,1,3
96,97,98,96,67,53,70,1,2
97,94,88,57,94,50,40,1,3
97,91,95,97,90,92,41,1,2
96,91,96,88,81,57,75,1,2
94,99,94,67,65,50,63,2,2
88,93,98,93,95,47,84,2,2
99,96,99,41,63,51,52,1,3
93,95,99,70,84,84,46,2,2
90,85,97,98,45,49,96,1,2
97,95,98,68,76,27,55,1,3
95,97,93,92,89,46,68,1,2
93,96,96,50,55,81,93,1,2
94,99,91,97,71,57,51,2,2
97,90,98,40,59,42,97,2,3
91,90,97,80,86,71,43,1,2
92,98,88,42,92,48,47,2,3
90,98,91,72,87,48,64,1,2
99,93,91,51,60,94,60,1,2
92,94,90,93,89,66,76,2,2
96,92,97,64,73,77,49,2,2
90,91,90,40,87,43,89,1,2
93,85,97,83,79,80,63,2,2
99,92,97,77,53,64,41,1,3
93,90,97,93,78,56,61,1,2
96,98,99,72,84,78,40,2,2
94,90,85,83,71,51,60,1,2
95,90,95,73,65,43,53,1,3
99,90,90,55,91,79,43,2,2
91,90,98,92,46,89,52,2,2
93,95,96,95,29,53,48,2,3
96,94,92,56,98,57,54,2,2
92,92,98,83,71,97,93,2,2
95,93,94,80,91,56,43,2,2
96,98,93,46,76,55,40,2,3
98,89,93,50,45,80,46,1,3
99,91,93,72,85,79,98,2,2
91,94,90,95,93,54,47,1,2
92,92,95,85,93,91,74,1,2
98,99,91,62,73,89,50,1,2
88,99,90,90,88,91,24,2,2
95,99,93,64,55,88,64,2,2
98,96,97,86,70,70,84,2,2
90,90,85,79,91,56,100,2,2
99,97,99,51,92,47,90,2,2
94,96,92,43,62,75,66,2,2
93,98,96,49,79,46,49,1,3
98,99,91,66,42,54,55,1,3
93,92,95,77,99,41,40,2,2
96,96,96,50,82,79,95,1,2
99,99,95,41,97,88,41,1,2
94,87,95,52,68,94,79,1,2
90,99,93,42,91,56,64,2,2
94,90,90,50,42,95,76,2,2
99,96,89,46,27,81,95,1,2
90,91,90,52,44,44,76,1,3
91,94,94,66,55,75,69,2,2
97,99,91,92,96,60,94,1,2
99,93,92,53,78,60,43,2,3
90,93,99,64,71,75,67,1,2
99,94,97,92,97,68,63,2,2
95,95,95,98,56,52,75,2,2
91,99,97,47,72,100,66,2,2
91,92,94,73,49,69,88,2,2
96,93,93,57,50,49,97,1,2
88,89,99,37,71,79,52,1,3
99,94,95,77,46,48,72,1,2
98,96,95,93,92,60,82,2,2
96,96,97,78,54,67,64,2,2
91,98,97,48,93,68,54,1,2
96,91,97,47,48,87,44,1,3
98,97,90,66,82,52,66,1,2
99,97,98,83,95,77,81,1,1
94,94,95,83,87,50,49,2,2
91,98,86,61,79,97,81,1,2
97,94,97,57,47,99,47,2,2
95,98,94,91,52,87,73,1,2
94,96,95,74,41,92,90,1,2
92,91,93,47,70,69,85,2,2
95,94,90,78,92,47,43,2,2
99,92,95,69,60,33,62,1,3
90,96,97,40,75,40,78,1,3
96,95,93,80,66,77,86,2,2
97,95,92,75,49,74,83,1,2
93,98,90,71,70,88,54,1,2
93,98,93,42,80,54,87,1,2
93,97,92,58,85,93,64,2,2
93,86,98,74,83,72,95,1,2
95,99,92,69,61,60,95,1,2
88,98,97,84,99,96,72,2,1
96,92,91,65,89,54,52,2,2
90,95,97,54,52,64,82,2,2
98,91,92,98,64,55,70,1,2
99,95,94,55,94,81,42,1,2
90,90,97,40,48,90,79,1,2
97,93,85,40,64,77,28,2,3
94,90,96,88,54,63,84,2,2
95,99,95,64,96,81,82,1,2
95,99,96,58,96,78,59,1,2
95,94,99,66,66,65,96,1,2
96,96,95,69,90,43,48,1,2
90,95,94,83,41,97,48,1,2
90,95,90,46,53,65,61,2,3
94,88,93,62,62,73,88,1,2
94,98,95,74,92,80,58,2,2
94,99,90,92,49,92,53,1,2
91,97,99,58,87,88,91,2,2
96,92,86,59,66,58,75,2,2
91,93,91,87,63,53,90,1,2
96,97,98,97,95,68,75,2,2
92,98,89,83,35,54,94,2,2
94,94,98,85,95,74,48,2,2
94,92,94,44,93,73,71,2,2
98,98,90,92,70,56,84,1,2
97,88,92,87,89,68,47,2,2
88,90,98,84,60,93,53,1,2
95,98,99,55,81,98,93,1,2
97,91,93,73,79,56,79,1,2
94,98,96,84,46,42,73,1,2
93,98,88,94,50,81,76,1,2
97,99,96,51,75,68,73,1,2
92,97,92,61,71,78,56,2,2
94,94,93,80,50,43,41,1,3
94,98,95,57,55,95,43,1,2
92,86,90,92,98,75,40,1,2
96,93,98,57,41,34,57,1,3
94,93,94,57,56,86,98,1,2
91,91,92,84,51,66,51,2,2
95,96,98,74,48,51,51,1,3
91,87,98,58,86,88,41,2,2
98,91,90,74,65,54,75,2,2
88,96,97,79,60,67,84,1,2
92,97,92,42,87,80,68,2,2
90,95,92,81,85,97,81,1,2
98,96,99,47,95,48,96,1,2
95,98,91,42,49,76,76,2,2
96,91,91,88,55,48,54,2,3
92,99,85,24,77,52,47,1,3
90,95,95,85,60,64,97,2,2
90,92,90,96,56,57,58,1,2
98,87,97,98,46,67,41,1,2
92,90,97,87,41,85,53,1,2
98,93,90,44,63,57,73,2,3
92,98,95,81,40,59,80,2,2
91,85,91,51,79,46,85,2,2
93,97,98,47,47,46,59,1,3
95,97,92,88,81,54,86,1,2
98,99,99,57,78,95,46,2,2
94,99,90,97,50,92,87,1,2
93,90,93,52,82,37,66,1,3
95,99,94,87,91,82,68,2,2
89,94,96,56,56,42,96,1,2
92,96,86,76,46,75,59,2,2
97,96,92,61,48,42,57,1,3
97,91,91,99,80,52,46,1,2
96,97,98,92,70,42,67,2,2
99,95,91,65,73,69,76,1,2
99,99,96,67,50,76,84,1,2
99,94,98,86,84,66,51,2,2
95,96,96,43,66,60,71,2,2
94,96,91,89,59,90,47,2,2
95,92,91,51,43,56,42,2,3
99,98,94,56,93,80,97,1,2
97,87,97,65,92,86,86,2,2
91,97,98,52,78,77,78,2,2
97,90,92,50,83,58,94,1,2
98,94,97,40,53,47,86,2,3
96,93,93,78,27,80,94,1,2
93,93,97,96,65,53,75,1,2
90,95,99,64,64,60,71,1,2
95,98,96,97,42,60,62,2,2
96,96,95,66,43,90,64,1,2
90,97,90,91,56,97,56,2,2
95,90,97,74,47,45,84,1,2
99,99,88,64,49,80,72,2,2
85,89,91,61,78,40,98,1,2
92,95,91,68,58,77,46,2,2
95,93,98,99,77,70,86,2,2
97,91,96,79,48,89,87,2,2
96,92,95,63,56,61,55,1,3
94,87,91,83,78,44,68,2,2
95,93,91,80,74,61,26,1,3
97,97,90,69,61,42,81,1,2
90,96,98,65,84,82,51,2,2
92,93,94,99,69,78,90,1,2
94,92,94,87,64,50,42,2,3
99,90,88,44,59,74,88,2,2
94,96,92,80,50,73,68,2,2
96,95,93,82,94,85,63,2,2
95,92,90,75,67,71,90,2,2
92,99,86,94,42,77,53,1,2
95,92,91,82,68,56,81,1,2
92,92,91,65,45,58,70,1,3
99,93,94,57,91,45,85,2,2
89,91,90,76,59,42,78,1,2
97,90,94,86,44,83,56,2,2
92,98,98,34,64,92,60,2,2
96,98,94,67,77,86,69,1,2
93,99,95,51,53,57,46,1,3
94,89,97,72,45,81,67,2,2
95,91,96,83,75,57,58,2,2
95,94,91,62,57,70,66,1,2
90,95,98,56,49,67,86,1,2
91,91,95,73,41,69,58,1,3
99,92,95,90,66,43,97,1,2
98,99,94,75,54,39,62,2,3
93,95,95,47,61,48,53,1,3
94,98,97,54,43,72,86,1,2
99,90,96,84,71,62,77,2,2
90,98,93,99,89,52,44,1,2
88,93,89,66,77,45,49,1,3
94,99,95,69,72,47,65,1,2
92,95,97,66,44,58,43,1,3
93,95,92,55,80,58,99,2,2
91,97,97,40,41,52,96,2,3
96,90,91,74,97,91,82,1,2
97,98,95,80,98,59,90,1,2
96,98,92,94,48,72,72,2,2
91,94,98,48,42,58,55,2,3
93,94,99,84,42,40,42,2,3
97,86,92,70,88,81,91,1,2
96,93,94,44,72,80,81,1,2
96,96,98,82,97,75,65,2,2
98,90,95,95,42,90,79,2,2
96,93,91,84,43,79,75,2,2
87,86,98,41,96,60,83,1,2
98,91,95,87,80,89,47,1,2
98,89,90,54,53,42,72,1,3
94,99,98,41,80,96,72,1,2
90,90,94,58,65,38,62,1,3
94,91,98,74,78,73,47,2,2
90,98,90,86,73,71,71,2,2
91,98,91,51,83,79,93,1,2
96,97,87,49,73,52,70,1,3
93,92,94,89,54,51,89,2,2
95,93,98,52,40,46,94,1,3
95,90,91,43,83,81,78,2,2
98,98,93,71,87,72,66,1,2
85,88,91,57,95,66,86,2,2
90,97,92,52,46,66,45,1,3
98,95,93,63,44,56,97,1,2
97,91,92,79,55,40,99,1,2
94,99,99,58,47,92,79,1,2
96,91,90,63,99,50,98,2,2
94,92,95,82,57,40,58,1,3
95,95,94,73,64,91,68,1,2
90,98,89,76,80,99,93,2,2
95,99,93,77,95,62,99,2,2
96,97,94,96,92,56,72,2,2
91,95,96,40,42,71,89,2,3
92,95,92,65,63,74,89,1,2
94,91,97,81,78,85,28,2,2
97,93,99,85,86,54,76,2,2
90,90,92,66,67,46,43,2,3
96,95,98,95,74,92,75,1,2
94,99,96,54,54,85,73,1,2
